IDENT	PRE	PRO	CAT	VEJ	APR
1	70	20	A	5	3
2	60	20	A	5	2
3	65	20	A	7.5	2
4	74	25	A	12	2
5	70	25	A	12	3
6	73	30	A	5	0
7	70	30	A	8	0
8	55	30	A	5	2
9	77	30	A	5.5	0
10	93	30	A	12	0
11	82	30	A	12	2
12	73	33	B	6.5	1
13	62	33	B	8	3
14	87	33	B	12	3
15	78	35	B	10	2
16	73	40	B	10	4
17	87	40	B	8.5	2
18	80	40	B	8.5	2
19	85	40	B	9.5	2
20	87	40	B	8.5	4
21	80	40	B	9.5	2
22	83	40	B	9.5	1
23	90	40	B	12.5	2
24	110	40	B	12	3
25	87	40	B	5.5	2
26	113	45	B	12	4
27	96	45	B	12	3
28	82	45	B	12	3
29	127	100	C	8.5	4
30	160	100	C	12	3
31	90	100	C	12	4
32	86	100	C	12	2
33	100	100	C	10	3
34	100	100	C	11	3
35	95	100	C	12	0
